market,date,timestamp,period,interval,price_type,price_rmb_mwh,source,source_url,is_simulated,retrieved_at,schema_version
jiangsu,2026-08-11,2026-08-11T06:15:00+08:00,26,15,day_ahead,259.01,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T06:30:00+08:00,27,15,day_ahead,280.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T06:45:00+08:00,28,15,day_ahead,310.07,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T07:00:00+08:00,29,15,day_ahead,354.04,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T07:15:00+08:00,30,15,day_ahead,405.43,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T07:30:00+08:00,31,15,day_ahead,462.32,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T07:45:00+08:00,32,15,day_ahead,523.68,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T08:00:00+08:00,33,15,day_ahead,588.85,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T08:15:00+08:00,34,15,day_ahead,657.38,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T08:30:00+08:00,35,15,day_ahead,728.92,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T08:45:00+08:00,36,15,day_ahead,803.2,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T09:00:00+08:00,37,15,day_ahead,920.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T09:15:00+08:00,38,15,day_ahead,969.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T09:30:00+08:00,39,15,day_ahead,1014.05,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T09:45:00+08:00,40,15,day_ahead,1049.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T10:00:00+08:00,41,15,day_ahead,1072.17,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T10:15:00+08:00,42,15,day_ahead,1080.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T10:30:00+08:00,43,15,day_ahead,1072.17,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T10:45:00+08:00,44,15,day_ahead,1049.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T11:00:00+08:00,45,15,day_ahead,1014.05,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T11:15:00+08:00,46,15,day_ahead,969.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T11:30:00+08:00,47,15,day_ahead,680.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T11:45:00+08:00,48,15,day_ahead,640.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T12:00:00+08:00,49,15,day_ahead,603.46,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T12:15:00+08:00,50,15,day_ahead,568.89,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T12:30:00+08:00,51,15,day_ahead,538.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T12:45:00+08:00,52,15,day_ahead,513.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T13:00:00+08:00,53,15,day_ahead,495.22,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T13:15:00+08:00,54,15,day_ahead,483.84,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T13:30:00+08:00,55,15,day_ahead,480.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T13:45:00+08:00,56,15,day_ahead,483.84,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T14:00:00+08:00,57,15,day_ahead,495.22,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T14:15:00+08:00,58,15,day_ahead,513.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T14:30:00+08:00,59,15,day_ahead,538.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T14:45:00+08:00,60,15,day_ahead,568.89,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T15:00:00+08:00,61,15,day_ahead,603.46,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T15:15:00+08:00,62,15,day_ahead,640.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T15:30:00+08:00,63,15,day_ahead,540.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T15:45:00+08:00,64,15,day_ahead,571.67,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T16:00:00+08:00,65,15,day_ahead,603.33,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T16:15:00+08:00,66,15,day_ahead,635.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T16:30:00+08:00,67,15,day_ahead,666.67,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T16:45:00+08:00,68,15,day_ahead,698.33,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T17:00:00+08:00,69,15,day_ahead,730.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T17:15:00+08:00,70,15,day_ahead,761.67,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T17:30:00+08:00,71,15,day_ahead,793.33,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T17:45:00+08:00,72,15,day_ahead,825.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T18:00:00+08:00,73,15,day_ahead,856.67,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T18:15:00+08:00,74,15,day_ahead,888.33,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T18:30:00+08:00,75,15,day_ahead,980.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T18:45:00+08:00,76,15,day_ahead,1036.94,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T19:00:00+08:00,77,15,day_ahead,1090.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T19:15:00+08:00,78,15,day_ahead,1135.56,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T19:30:00+08:00,79,15,day_ahead,1170.53,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T19:45:00+08:00,80,15,day_ahead,1192.5,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T20:00:00+08:00,81,15,day_ahead,1200.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T20:15:00+08:00,82,15,day_ahead,1192.5,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T20:30:00+08:00,83,15,day_ahead,1170.53,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T20:45:00+08:00,84,15,day_ahead,1135.56,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T21:00:00+08:00,85,15,day_ahead,1090.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T21:15:00+08:00,86,15,day_ahead,1036.94,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T21:30:00+08:00,87,15,day_ahead,850.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T21:45:00+08:00,88,15,day_ahead,798.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T22:00:00+08:00,89,15,day_ahead,746.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T22:15:00+08:00,90,15,day_ahead,694.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T22:30:00+08:00,91,15,day_ahead,642.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T22:45:00+08:00,92,15,day_ahead,590.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T23:00:00+08:00,93,15,day_ahead,538.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T23:15:00+08:00,94,15,day_ahead,486.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T23:30:00+08:00,95,15,day_ahead,434.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-11,2026-08-11T23:45:00+08:00,96,15,day_ahead,382.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T00:00:00+08:00,1,15,day_ahead,262.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T00:15:00+08:00,2,15,day_ahead,265.01,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T00:30:00+08:00,3,15,day_ahead,267.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T00:45:00+08:00,4,15,day_ahead,270.87,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T01:00:00+08:00,5,15,day_ahead,273.62,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T01:15:00+08:00,6,15,day_ahead,276.2,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T01:30:00+08:00,7,15,day_ahead,278.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T01:45:00+08:00,8,15,day_ahead,280.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T02:00:00+08:00,9,15,day_ahead,282.57,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T02:15:00+08:00,10,15,day_ahead,284.14,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T02:30:00+08:00,11,15,day_ahead,285.38,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T02:45:00+08:00,12,15,day_ahead,286.27,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T03:00:00+08:00,13,15,day_ahead,286.82,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T03:15:00+08:00,14,15,day_ahead,287.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T03:30:00+08:00,15,15,day_ahead,286.82,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T03:45:00+08:00,16,15,day_ahead,286.27,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T04:00:00+08:00,17,15,day_ahead,285.38,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T04:15:00+08:00,18,15,day_ahead,284.14,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T04:30:00+08:00,19,15,day_ahead,282.57,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T04:45:00+08:00,20,15,day_ahead,280.71,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T05:00:00+08:00,21,15,day_ahead,278.58,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T05:15:00+08:00,22,15,day_ahead,276.2,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T05:30:00+08:00,23,15,day_ahead,273.62,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T05:45:00+08:00,24,15,day_ahead,270.87,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T06:00:00+08:00,25,15,day_ahead,267.98,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T06:15:00+08:00,26,15,day_ahead,265.01,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T06:30:00+08:00,27,15,day_ahead,280.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T06:45:00+08:00,28,15,day_ahead,310.07,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T07:00:00+08:00,29,15,day_ahead,354.04,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T07:15:00+08:00,30,15,day_ahead,405.43,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T07:30:00+08:00,31,15,day_ahead,462.32,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T07:45:00+08:00,32,15,day_ahead,523.68,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T08:00:00+08:00,33,15,day_ahead,588.85,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T08:15:00+08:00,34,15,day_ahead,657.38,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T08:30:00+08:00,35,15,day_ahead,728.92,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T08:45:00+08:00,36,15,day_ahead,803.2,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T09:00:00+08:00,37,15,day_ahead,920.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T09:15:00+08:00,38,15,day_ahead,969.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T09:30:00+08:00,39,15,day_ahead,1014.05,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T09:45:00+08:00,40,15,day_ahead,1049.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T10:00:00+08:00,41,15,day_ahead,1072.17,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T10:15:00+08:00,42,15,day_ahead,1080.0,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T10:30:00+08:00,43,15,day_ahead,1072.17,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
jiangsu,2026-08-12,2026-08-12T10:45:00+08:00,44,15,day_ahead,1049.44,VoltPulse Jiangsu Benchmark (Dual-Peak Load Simulation),synthetic://jiangsu-dual-peak-generator,True,2026-08-01T00:00:00+08:00,2.0.0
